Name,Address,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Price,Distance,Type of Cuisine
Taragui,"Marcelo Torcuato de Alvear 997, C1058AAM CABA",11AM-10PM,11AM-10PM,11AM-10PM,11AM-10PM,11AM-10PM,11AM-10PM,Closed,$,Close,Argentinian
Santos Manjares,"Paraguay 938, C1057AAN CABA",11:45AM-12AM,11:45AM-12AM,11:45AM-12AM,11:45AM-12AM,11:45AM-12AM,11:45AM-12AM,Closed,$$,Close,Argentinian
Ditali,"Maipu 902, C1006ACN CABA",7AM-1AM,7AM-1AM,7AM-1AM,7AM-1AM,7AM-2AM,7AM-2AM,8AM-1AM,$,Close,Argentinian
Elena,"C, Posadas 1086, C1011 ABB, Buenos Aires",7AM-12:30AM,7AM-12:30AM,7AM-12:30AM,7AM-12:30AM,7AM-12:30AM,7AM-12:30AM,7AM-12:30AM,$$$,Medium,Argentinian
Las Cabras,"Fitz Roy 1795, C1414 CABA",12PM-1AM,12PM-1AM,12PM-1AM,12PM-1AM,12PM-1AM,12PM-1AM,12PM-1AM,$$,Far,Argentinian
Chori,"Thames 1653, C1414DDG CABA",12:30PM-12:30AM,12:30PM-12:30AM,12:30PM-12:30AM,12:30PM-12:30AM,12:30PM-1AM,12:30PM-1AM,12:30PM-12:30AM,$,Far,Argentinian
Pizzeria Guerrin,"Av. Corrientes 1368, C1043 CABA",11AM-1AM,11AM-1AM,11AM-1AM,11AM-1AM,11AM-2AM,11AM-2AM,11AM-1AM,$,Medium,Argentinian
El Cuartito,"Talcahuano 937, C1013AAS CABA",Closed,12:30PM-1AM,12:30PM-1AM,12:30PM-1AM,12:30PM-2AM,12:30PM-2AM,12:30PM-1AM,$,Medium,Argentinian
Saigon Noodle Bar,"Marcelo Torcuato de Alvear 818, C1058 CABA","12-4PM, 6PM-12AM","12-4PM, 6PM-12AM","12-4PM, 6PM-12AM","12-4PM, 6PM-12AM","12-4PM, 6PM-12AM","12-4PM, 6PM-12AM",Closed,$,Close,Asian
Fa Song Song,"Esmeralda 993 C1007ABK, 1007 CABA",11:30AM-3PM,"11:30AM-3PM, 7-10:30PM","11:30AM-3PM, 7-10:30PM","11:30AM-3PM, 7-10:30PM","11:30AM-3PM, 7-10:30PM",Closed,Closed,$,Close,Asian
Bao Kitchen,"San Martin 960, C1004AAT CABA",12-9:30PM,12-9:30PM,12-9:30PM,12-9:30PM,12-11PM,12-11PM,Closed,$$,Medium,Asian
Tea Connection,"Montevideo 1655, C1021AAA CABA",8AM-12AM,8AM-12AM,8AM-12AM,8AM-12AM,8AM-12AM,8AM-12AM,9AM-12AM,$,Medium,Cafe
All Saints,"Av. Corrientes 802, C1043 CABA",7:30AM-9PM,7:30AM-9PM,7:30AM-9PM,7:30AM-9PM,7:30AM-9PM,2-9PM,2-9PM,$,Medium,Cafe
Ninina,"Gorriti 4738, C1414BJL CABA",8AM-11PM,8AM-11PM,8AM-11PM,8AM-11PM,8AM-12PM,9AM-12AM,9AM-11PM,$,Far,Cafe
Cuervo,"El Salvador 4580, C1414BPH CABA",Closed,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,8AM-8PM,$,Far,Cafe
